run_index,run_id,model_id,aptamer_id,serial_number,aptamer_name,nucleic_acid_type,aptamer_length,target_normalized,target_type,target_length,target_source_database,target_source_id,target_match,resolution_method,validation_reason,experimental_affinity_raw,experimental_kd_nm,doi,pubmed,yaml_path
50,task5_0050,UTEXAS_10000217_R238,UTEXAS_10000217,10000217,APC-99,RNA,99,"Activated protein C (APC), Human",protein,2843,UniProt,P25054,Adenomatous polyposis coli protein (Protein APC) (Deleted in polyposis 2.5),UNIPROT_EXACT_GENE,UNIPROT_EXACT_GENE,Ki: 137 ± 14 nM,,https://doi.org/10.1046/j.1432-1327.1998.2520553.x,https://pubmed.ncbi.nlm.nih.gov/9546673/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0050.yaml
51,task5_0051,UTEXAS_10000237_R258,UTEXAS_10000237,10000237,C #128,RNA,113,Streptomycin,ligand,,PubChem,19649,Streptomycin,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Not reported,,"PMCID: PMC1369601, PMID: 9436913",https://pubmed.ncbi.nlm.nih.gov/9436913/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0051.yaml
52,task5_0052,UTEXAS_10000239_R260,UTEXAS_10000239,10000239,B # 84,RNA,113,Streptomycin,ligand,,PubChem,19649,Streptomycin,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Not reported,,"PMCID: PMC1369601, PMID: 9436913",https://pubmed.ncbi.nlm.nih.gov/9436913/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0052.yaml
53,task5_0053,UTEXAS_10000241_R262,UTEXAS_10000241,10000241,29A-OH,DNA,29,Nucleolin,protein,710,UniProt,P19338,Nucleolin (Protein C23),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_1.000,Not reported,,https://doi.org/10.1074/jbc.274.37.26369,https://pubmed.ncbi.nlm.nih.gov/10473594/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0053.yaml
54,task5_0054,UTEXAS_10000242_R263,UTEXAS_10000242,10000242,GRO29A ,DNA,29,Nucleolin,protein,710,UniProt,P19338,Nucleolin (Protein C23),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_1.000,Not reported,,https://doi.org/10.1074/jbc.274.37.26369,https://pubmed.ncbi.nlm.nih.gov/10473594/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0054.yaml
55,task5_0055,UTEXAS_10000253_R274,UTEXAS_10000253,10000253,RNA-1,RNA,82,Subtilisin BPN,ligand,,PubChem,3086051,Subtilisin BPN,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Ki: 2.5 µM,,https://doi.org/10.1093/oxfordjournals.jbchem.a022393,https://pubmed.ncbi.nlm.nih.gov/10348914/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0055.yaml
56,task5_0056,UTEXAS_10000285_R307,UTEXAS_10000285,10000285,1D13-01,RNA,102,Doxycyline,ligand,,PubChem,54713166,Doxycyline,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Ki: 70 ± 20 nM,,https://doi.org/10.1002/1521-3773(20001201)39:23%3C4369::aid-anie4369%3E3.0.co;2-n,https://pubmed.ncbi.nlm.nih.gov/29711918/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0056.yaml
57,task5_0057,UTEXAS_10000286_R308,UTEXAS_10000286,10000286,1D16-05,RNA,101,Doxycyline,ligand,,PubChem,54713166,Doxycyline,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Ki: 20 ± 5 nM,,https://doi.org/10.1002/1521-3773(20001201)39:23%3C4369::aid-anie4369%3E3.0.co;2-n,https://pubmed.ncbi.nlm.nih.gov/29711918/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0057.yaml
58,task5_0058,UTEXAS_10000287_R309,UTEXAS_10000287,10000287,1D16-06,RNA,102,Doxycyline,ligand,,PubChem,54713166,Doxycyline,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Ki: 25 ± 3 nM,,https://doi.org/10.1002/1521-3773(20001201)39:23%3C4369::aid-anie4369%3E3.0.co;2-n,https://pubmed.ncbi.nlm.nih.gov/29711918/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0058.yaml
59,task5_0059,UTEXAS_10000288_R310,UTEXAS_10000288,10000288,rafl7,RNA,84,Adenosine triphosphate (ATP),ligand,,PubChem,5957,Adenosine triphosphate,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Kd: 223 μM ± 20 μM,223000,https://doi.org/10.1038/82414,https://pubmed.ncbi.nlm.nih.gov/11101810/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0059.yaml
60,task5_0060,UTEXAS_10000291_R313,UTEXAS_10000291,10000291,rafl28,RNA,84,Adenosine triphosphate (ATP),ligand,,PubChem,5957,Adenosine triphosphate,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Not reported ,,https://doi.org/10.1038/82414,https://pubmed.ncbi.nlm.nih.gov/11101810/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0060.yaml
61,task5_0061,UTEXAS_10000292_R314,UTEXAS_10000292,10000292,1D16-13,RNA,102,Doxycyline,ligand,,PubChem,54713166,Doxycyline,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Ki: 50 ± 30 nM,,https://doi.org/10.1002/1521-3773(20001201)39:23%3C4369::aid-anie4369%3E3.0.co;2-n,https://pubmed.ncbi.nlm.nih.gov/29711918/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0061.yaml
62,task5_0062,UTEXAS_10000296_R318,UTEXAS_10000296,10000296,8,DNA,104,Hematoporphyrin IX (HPIX),ligand,,PubChem,11103,Hematoporphyrin IX,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Kd: 1.1x10^-5 M,11000,https://doi.org/10.1016/s0960-894x(00)00540-0,https://pubmed.ncbi.nlm.nih.gov/11128644/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0062.yaml
63,task5_0063,UTEXAS_10000297_R319,UTEXAS_10000297,10000297,13,DNA,103,Hematoporphyrin IX (HPIX),ligand,,PubChem,11103,Hematoporphyrin IX,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Kd: 9.1x10^-6 M,9100,https://doi.org/10.1016/s0960-894x(00)00540-0,https://pubmed.ncbi.nlm.nih.gov/11128644/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0063.yaml
64,task5_0064,UTEXAS_10000298_R320,UTEXAS_10000298,10000298,14,DNA,104,Hematoporphyrin IX (HPIX),ligand,,PubChem,11103,Hematoporphyrin IX,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Kd: 1.2x10^-4 M,120000,https://doi.org/10.1016/s0960-894x(00)00540-0,https://pubmed.ncbi.nlm.nih.gov/11128644/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0064.yaml
65,task5_0065,UTEXAS_10000299_R321,UTEXAS_10000299,10000299,20,DNA,104,Hematoporphyrin IX (HPIX),ligand,,PubChem,11103,Hematoporphyrin IX,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Kd: 6.3x10^-6 M,6300,https://doi.org/10.1016/s0960-894x(00)00540-0,https://pubmed.ncbi.nlm.nih.gov/11128644/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0065.yaml
66,task5_0066,UTEXAS_10000300_R322,UTEXAS_10000300,10000300,22,DNA,104,Hematoporphyrin IX (HPIX),ligand,,PubChem,11103,Hematoporphyrin IX,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Kd: 1.3x10^-5 M,13000,https://doi.org/10.1016/s0960-894x(00)00540-0,https://pubmed.ncbi.nlm.nih.gov/11128644/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0066.yaml
67,task5_0067,UTEXAS_10000301_R323,UTEXAS_10000301,10000301,26,DNA,102,Hematoporphyrin IX (HPIX),ligand,,PubChem,11103,Hematoporphyrin IX,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Kd: 1.6x10^-6 M,1600,https://doi.org/10.1016/s0960-894x(00)00540-0,https://pubmed.ncbi.nlm.nih.gov/11128644/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0067.yaml
68,task5_0068,UTEXAS_10000302_R324,UTEXAS_10000302,10000302,30,DNA,105,Hematoporphyrin IX (HPIX),ligand,,PubChem,11103,Hematoporphyrin IX,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Kd: 2.7x10^-6 M,2700,https://doi.org/10.1016/s0960-894x(00)00540-0,https://pubmed.ncbi.nlm.nih.gov/11128644/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0068.yaml
69,task5_0069,UTEXAS_10000303_R325,UTEXAS_10000303,10000303,32,DNA,105,Hematoporphyrin IX (HPIX),ligand,,PubChem,11103,Hematoporphyrin IX,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Kd: 9.8x10^-6 M,9800,https://doi.org/10.1016/s0960-894x(00)00540-0,https://pubmed.ncbi.nlm.nih.gov/11128644/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0069.yaml
70,task5_0070,UTEXAS_10000304_R326,UTEXAS_10000304,10000304,33,DNA,105,Hematoporphyrin IX (HPIX),ligand,,PubChem,11103,Hematoporphyrin IX,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Kd: 2.2x10^-4 M,220000,https://doi.org/10.1016/s0960-894x(00)00540-0,https://pubmed.ncbi.nlm.nih.gov/11128644/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0070.yaml
71,task5_0071,UTEXAS_10000311_R333,UTEXAS_10000311,10000311,06.50 aptamer,DNA,61,"Basic fibroblast growth factor (bFGF(155)), Human",protein,288,UniProt,P09038,Fibroblast growth factor 2 (FGF-2) (Basic fibroblast growth factor) (bFGF) (Heparin-binding growth factor 2) (HBGF-2),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_0.833,Kd: 560 pM,0.56,https://doi.org/10.1016/s0168-1656(00)00290-x,https://pubmed.ncbi.nlm.nih.gov/10989176/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0071.yaml
72,task5_0072,UTEXAS_10000312_R334,UTEXAS_10000312,10000312,06.15 aptamer,DNA,61,"Basic fibroblast growth factor (bFGF(155)), Human",protein,288,UniProt,P09038,Fibroblast growth factor 2 (FGF-2) (Basic fibroblast growth factor) (bFGF) (Heparin-binding growth factor 2) (HBGF-2),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_0.833,Kd: 16 pM,0.016,https://doi.org/10.1016/s0168-1656(00)00290-x,https://pubmed.ncbi.nlm.nih.gov/10989176/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0072.yaml
73,task5_0073,UTEXAS_10000323_R345,UTEXAS_10000323,10000323,ADR58,RNA,71,"Oncostatin M (OSM), Human",protein,252,UniProt,P13725,Oncostatin-M (OSM),UNIPROT_EXACT_GENE,UNIPROT_EXACT_GENE,Kd: 7 nM,7,https://doi.org/10.1074/jbc.M002981200,https://pubmed.ncbi.nlm.nih.gov/10882721/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0073.yaml
74,task5_0074,UTEXAS_10000325_R347,UTEXAS_10000325,10000325,F7-9D,DNA,30,Cocaine,ligand,,PubChem,446220,Cocaine,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Kd ∼ 100 µM,100000,https://doi.org/10.1021/ja0038171,https://pubmed.ncbi.nlm.nih.gov/11457319/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0074.yaml
75,task5_0075,UTEXAS_10000326_R348,UTEXAS_10000326,10000326,MNS-4.1,DNA,38,Cocaine,ligand,,PubChem,446220,Cocaine,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Kd ∼ 20 µM,20000,https://doi.org/10.1021/ja0038171,https://pubmed.ncbi.nlm.nih.gov/11457319/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0075.yaml
76,task5_0076,UTEXAS_10000327_R349,UTEXAS_10000327,10000327,Clone 3,RNA,95,N-methyl mesoporphyrin IX (NMM),ligand,,PubChem,656404,N-methyl mesoporphyrin IX,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Kd: 0.25 μM,250,https://doi.org/10.1002/bit.10078,https://pubmed.ncbi.nlm.nih.gov/11668446/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0076.yaml
77,task5_0077,UTEXAS_10000328_R350,UTEXAS_10000328,10000328,Clone 30,RNA,97,N-methyl mesoporphyrin IX (NMM),ligand,,PubChem,656404,N-methyl mesoporphyrin IX,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Kd: 0.66 μM,660,https://doi.org/10.1002/bit.10078,https://pubmed.ncbi.nlm.nih.gov/11668446/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0077.yaml
78,task5_0078,UTEXAS_10000347_R369,UTEXAS_10000347,10000347,D8,RNA,84,Sephadex G-100,ligand,,PubChem,168009902,Sephadex G-100,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Not reported,,https://doi.org/10.1093/nar/29.2.e4,https://pubmed.ncbi.nlm.nih.gov/11139634/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0078.yaml
79,task5_0079,UTEXAS_10000349_R371,UTEXAS_10000349,10000349,12 E4,RNA,98,N6-adenine,protein,365,UniProt,Q09956,DNA N6-methyl methyltransferase (EC 2.1.1.72) (DNA N6 adenine methyltransferase 1),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_1.000,Kd: 10 μM,10000,https://doi.org/10.1074/jbc.m107130200,https://pubmed.ncbi.nlm.nih.gov/11705996/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0079.yaml
80,task5_0080,UTEXAS_10000350_R372,UTEXAS_10000350,10000350,RNA 12 E4,RNA,91,Adenine,ligand,,PubChem,190,Adenine,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Kd: 10 uM,10000,https://doi.org/10.1074/jbc.m107130200,https://pubmed.ncbi.nlm.nih.gov/11705996/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0080.yaml
81,task5_0081,UTEXAS_10000358_R380,UTEXAS_10000358,10000358,DP3,RNA,91,Neuropeptide Y (NPY),protein,97,UniProt,P01303,Pro-neuropeptide Y [Cleaved into: Neuropeptide Y (Neuropeptide tyrosine) (NPY); C-flanking peptide of NPY (CPON)],UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_1.000,Kd: 0.37 μM,370,https://doi.org/10.1074/jbc.M109752200,https://pubmed.ncbi.nlm.nih.gov/11756401/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0081.yaml
82,task5_0082,UTEXAS_10000368_R390,UTEXAS_10000368,10000368,E2F-E1,RNA,33,E2F transcription factor,protein,396,UniProt,Q9FV70,Transcription factor E2FC (E2F transcription factor-2) (AtE2F2),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_1.000,Kd:2–4 nM,2,https://doi.org/10.1006/mthe.2002.0624,https://pubmed.ncbi.nlm.nih.gov/12095300/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0082.yaml
83,task5_0083,UTEXAS_10000370_R392,UTEXAS_10000370,10000370,Aptamer 10-10,RNA,122,Guanosine triphosphate (GTP),ligand,,PubChem,135398633,Guanosine triphosphate,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Kd: 28 nM,28,https://doi.org/10.1073/pnas.182095699,https://pubmed.ncbi.nlm.nih.gov/12185247/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0083.yaml
84,task5_0084,UTEXAS_10000371_R393,UTEXAS_10000371,10000371,Class I,RNA,105,Guanosine triphosphate (GTP),ligand,,PubChem,135398633,Guanosine triphosphate,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Kd: 60–300 nM,60,https://doi.org/10.1073/pnas.182095699,https://pubmed.ncbi.nlm.nih.gov/12185247/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0084.yaml
85,task5_0085,UTEXAS_10000372_R394,UTEXAS_10000372,10000372,Aptamer 10-59,RNA,106,Guanosine triphosphate (GTP),ligand,,PubChem,135398633,Guanosine triphosphate,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Kd: 200 nM,200,https://doi.org/10.1073/pnas.182095699,https://pubmed.ncbi.nlm.nih.gov/12185247/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0085.yaml
86,task5_0086,UTEXAS_10000373_R395,UTEXAS_10000373,10000373,Aptamer 9-12,RNA,99,Guanosine triphosphate (GTP),ligand,,PubChem,135398633,Guanosine triphosphate,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Kd:  250 nM,250,https://doi.org/10.1073/pnas.182095699,https://pubmed.ncbi.nlm.nih.gov/12185247/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0086.yaml
87,task5_0087,UTEXAS_10000374_R396,UTEXAS_10000374,10000374,Aptamer 10-24,RNA,108,Guanosine triphosphate (GTP),ligand,,PubChem,135398633,Guanosine triphosphate,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Kd:  250 nM,250,https://doi.org/10.1073/pnas.182095699,https://pubmed.ncbi.nlm.nih.gov/12185247/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0087.yaml
88,task5_0088,UTEXAS_10000375_R397,UTEXAS_10000375,10000375,Aptamer 10-6,RNA,129,Guanosine triphosphate (GTP),ligand,,PubChem,135398633,Guanosine triphosphate,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Kd: 500 nM,500,https://doi.org/10.1073/pnas.182095699,https://pubmed.ncbi.nlm.nih.gov/12185247/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0088.yaml
89,task5_0089,UTEXAS_10000393_R415,UTEXAS_10000393,10000393,T705,RNA,68,"Thrombin, Bovine",protein,625,UniProt,P00735,Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain],UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_1.000,Kd: 164 nM,164,https://doi.org/10.1002/jmr.604,https://pubmed.ncbi.nlm.nih.gov/12557236/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0089.yaml
90,task5_0090,UTEXAS_10000394_R416,UTEXAS_10000394,10000394,T710,RNA,68,"Thrombin, Bovine",protein,625,UniProt,P00735,Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain],UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_1.000,Kd: 240 nM,240,https://doi.org/10.1002/jmr.604,https://pubmed.ncbi.nlm.nih.gov/12557236/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0090.yaml
91,task5_0091,UTEXAS_10000419_R445,UTEXAS_10000419,10000419,#7,DNA,77,"Pro‐urokinase (PLAU), Human",protein,431,UniProt,P00749,Urokinase-type plasminogen activator (U-plasminogen activator) (Urokinase) (uPA) (EC 3.4.21.73) [Cleaved into: Urokinase-type plasminogen activator long chain A; Urokinase-type plasminogen activator short chain A; Urokinase-type plasminogen activator chain B],UNIPROT_EXACT_GENE,UNIPROT_EXACT_GENE,Not reported,,https://doi.org/10.1081/NCN-200026037,https://pubmed.ncbi.nlm.nih.gov/15560078/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0091.yaml
92,task5_0092,UTEXAS_10000420_R446,UTEXAS_10000420,10000420,#15,DNA,77,"Pro‐urokinase (PLAU), Human",protein,431,UniProt,P00749,Urokinase-type plasminogen activator (U-plasminogen activator) (Urokinase) (uPA) (EC 3.4.21.73) [Cleaved into: Urokinase-type plasminogen activator long chain A; Urokinase-type plasminogen activator short chain A; Urokinase-type plasminogen activator chain B],UNIPROT_EXACT_GENE,UNIPROT_EXACT_GENE,Not reported,,https://doi.org/10.1081/NCN-200026037,https://pubmed.ncbi.nlm.nih.gov/15560078/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0092.yaml
93,task5_0093,UTEXAS_10000421_R447,UTEXAS_10000421,10000421,#16,DNA,77,"Pro‐urokinase (PLAU), Human",protein,431,UniProt,P00749,Urokinase-type plasminogen activator (U-plasminogen activator) (Urokinase) (uPA) (EC 3.4.21.73) [Cleaved into: Urokinase-type plasminogen activator long chain A; Urokinase-type plasminogen activator short chain A; Urokinase-type plasminogen activator chain B],UNIPROT_EXACT_GENE,UNIPROT_EXACT_GENE,Not reported,,https://doi.org/10.1081/NCN-200026037,https://pubmed.ncbi.nlm.nih.gov/15560078/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0093.yaml
94,task5_0094,UTEXAS_10000422_R448,UTEXAS_10000422,10000422,#17,DNA,77,"Pro‐urokinase (PLAU), Human",protein,431,UniProt,P00749,Urokinase-type plasminogen activator (U-plasminogen activator) (Urokinase) (uPA) (EC 3.4.21.73) [Cleaved into: Urokinase-type plasminogen activator long chain A; Urokinase-type plasminogen activator short chain A; Urokinase-type plasminogen activator chain B],UNIPROT_EXACT_GENE,UNIPROT_EXACT_GENE,Not reported,,https://doi.org/10.1081/NCN-200026037,https://pubmed.ncbi.nlm.nih.gov/15560078/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0094.yaml
95,task5_0095,UTEXAS_10000423_R449,UTEXAS_10000423,10000423,#18,DNA,77,"Pro‐urokinase (PLAU), Human",protein,431,UniProt,P00749,Urokinase-type plasminogen activator (U-plasminogen activator) (Urokinase) (uPA) (EC 3.4.21.73) [Cleaved into: Urokinase-type plasminogen activator long chain A; Urokinase-type plasminogen activator short chain A; Urokinase-type plasminogen activator chain B],UNIPROT_EXACT_GENE,UNIPROT_EXACT_GENE,Not reported,,https://doi.org/10.1081/NCN-200026037,https://pubmed.ncbi.nlm.nih.gov/15560078/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0095.yaml
96,task5_0096,UTEXAS_10000424_R450,UTEXAS_10000424,10000424,#25,DNA,77,"Pro‐urokinase (PLAU), Human",protein,431,UniProt,P00749,Urokinase-type plasminogen activator (U-plasminogen activator) (Urokinase) (uPA) (EC 3.4.21.73) [Cleaved into: Urokinase-type plasminogen activator long chain A; Urokinase-type plasminogen activator short chain A; Urokinase-type plasminogen activator chain B],UNIPROT_EXACT_GENE,UNIPROT_EXACT_GENE,Not reported,,https://doi.org/10.1081/NCN-200026037,https://pubmed.ncbi.nlm.nih.gov/15560078/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0096.yaml
97,task5_0097,UTEXAS_10000425_R451,UTEXAS_10000425,10000425,#26,DNA,77,"Pro‐urokinase (PLAU), Human",protein,431,UniProt,P00749,Urokinase-type plasminogen activator (U-plasminogen activator) (Urokinase) (uPA) (EC 3.4.21.73) [Cleaved into: Urokinase-type plasminogen activator long chain A; Urokinase-type plasminogen activator short chain A; Urokinase-type plasminogen activator chain B],UNIPROT_EXACT_GENE,UNIPROT_EXACT_GENE,Not reported,,https://doi.org/10.1081/NCN-200026037,https://pubmed.ncbi.nlm.nih.gov/15560078/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0097.yaml
98,task5_0098,UTEXAS_10000426_R452,UTEXAS_10000426,10000426,#27,DNA,77,"Pro‐urokinase (PLAU), Human",protein,431,UniProt,P00749,Urokinase-type plasminogen activator (U-plasminogen activator) (Urokinase) (uPA) (EC 3.4.21.73) [Cleaved into: Urokinase-type plasminogen activator long chain A; Urokinase-type plasminogen activator short chain A; Urokinase-type plasminogen activator chain B],UNIPROT_EXACT_GENE,UNIPROT_EXACT_GENE,Not reported,,https://doi.org/10.1081/NCN-200026037,https://pubmed.ncbi.nlm.nih.gov/15560078/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0098.yaml
99,task5_0099,UTEXAS_10000427_R453,UTEXAS_10000427,10000427,#28,DNA,77,"Pro‐urokinase (PLAU), Human",protein,431,UniProt,P00749,Urokinase-type plasminogen activator (U-plasminogen activator) (Urokinase) (uPA) (EC 3.4.21.73) [Cleaved into: Urokinase-type plasminogen activator long chain A; Urokinase-type plasminogen activator short chain A; Urokinase-type plasminogen activator chain B],UNIPROT_EXACT_GENE,UNIPROT_EXACT_GENE,Not reported,,https://doi.org/10.1081/NCN-200026037,https://pubmed.ncbi.nlm.nih.gov/15560078/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0099.yaml
100,task5_0100,UTEXAS_10000428_R454,UTEXAS_10000428,10000428,#31,DNA,77,"Pro‐urokinase (PLAU), Human",protein,431,UniProt,P00749,Urokinase-type plasminogen activator (U-plasminogen activator) (Urokinase) (uPA) (EC 3.4.21.73) [Cleaved into: Urokinase-type plasminogen activator long chain A; Urokinase-type plasminogen activator short chain A; Urokinase-type plasminogen activator chain B],UNIPROT_EXACT_GENE,UNIPROT_EXACT_GENE,Not reported,,https://doi.org/10.1081/NCN-200026037,https://pubmed.ncbi.nlm.nih.gov/15560078/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0100.yaml
101,task5_0101,UTEXAS_10000429_R455,UTEXAS_10000429,10000429,#32,DNA,77,"Pro‐urokinase (PLAU), Human",protein,431,UniProt,P00749,Urokinase-type plasminogen activator (U-plasminogen activator) (Urokinase) (uPA) (EC 3.4.21.73) [Cleaved into: Urokinase-type plasminogen activator long chain A; Urokinase-type plasminogen activator short chain A; Urokinase-type plasminogen activator chain B],UNIPROT_EXACT_GENE,UNIPROT_EXACT_GENE,Not reported,,https://doi.org/10.1081/NCN-200026037,https://pubmed.ncbi.nlm.nih.gov/15560078/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0101.yaml
102,task5_0102,UTEXAS_10000430_R456,UTEXAS_10000430,10000430,M1,RNA,87,"4,4′-methylenedianiline (MDA)",ligand,,PubChem,7577,"4,4′-methylenedianiline",PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Kd: 0.45 μM,450,https://doi.org/10.1016/j.bbrc.2003.12.030,https://pubmed.ncbi.nlm.nih.gov/14706642/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0102.yaml
103,task5_0103,UTEXAS_10000431_R457,UTEXAS_10000431,10000431,M3,RNA,87,"4,4′-methylenedianiline (MDA)",ligand,,PubChem,7577,"4,4′-methylenedianiline",PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Kd: 2 μM,2000,https://doi.org/10.1016/j.bbrc.2003.12.030,https://pubmed.ncbi.nlm.nih.gov/14706642/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0103.yaml
